ID,NAME,SUSTAIN_APP__CONSUMPTIONREPORT__C,SUSTAIN_APP__ENERGYCONSUMPTION__C
a024W00000I7UT6QAN,CFR-000000002,a034W00000VdN7lQAF,a094W00002EL3S2QAL
a024W00000I7UT7QAN,CFR-000000003,a034W00000VdN7kQAF,a094W00002EL3S3QAL
a024W00000I7UT8QAN,CFR-000000004,a034W00000VdN7kQAF,a094W00002EL3S4QAL
a024W00000I7UT9QAN,CFR-000000005,a034W00000VdN7kQAF,a094W00002EL3S5QAL
a024W00000I7UTAQA3,CFR-000000006,a034W00000VdN7kQAF,a094W00002EL3S6QAL
a024W00000I7UTBQA3,CFR-000000007,a034W00000VdN7kQAF,a094W00002EL3S7QAL
a024W00000I7UTCQA3,CFR-000000008,a034W00000VdN7kQAF,a094W00002EL3S8QAL
a024W00000I7UTDQA3,CFR-000000009,a034W00000VdN7kQAF,a094W00002EL3S9QAL
a024W00000I7UTEQA3,CFR-000000010,a034W00000VdN7kQAF,a094W00002EL3SAQA1
a024W00000I7UTFQA3,CFR-000000011,a034W00000VdN7kQAF,a094W00002EL3SBQA1
a024W00000I7UTGQA3,CFR-000000012,a034W00000VdN7kQAF,a094W00002EL3SCQA1
a024W00000I7UTHQA3,CFR-000000013,a034W00000VdN7kQAF,a094W00002EL3SDQA1
a024W00000I7UTIQA3,CFR-000000014,a034W00000VdN7mQAF,a094W00002EL3SEQA1
a024W00000I7UTJQA3,CFR-000000015,a034W00000VdN7mQAF,a094W00002EL3SFQA1
a024W00000I7UTKQA3,CFR-000000016,a034W00000VdN7mQAF,a094W00002EL3SGQA1
a024W00000I7UTLQA3,CFR-000000017,a034W00000VdN7mQAF,a094W00002EL3SHQA1
a024W00000I7UTMQA3,CFR-000000018,a034W00000VdN7mQAF,a094W00002EL3SIQA1
a024W00000I7UTNQA3,CFR-000000019,a034W00000VdN7mQAF,a094W00002EL3SJQA1
a024W00000I7UTOQA3,CFR-000000020,a034W00000VdN7mQAF,a094W00002EL3SKQA1
a024W00000I7UTPQA3,CFR-000000021,a034W00000VdN7mQAF,a094W00002EL3SLQA1
a024W00000I7UTQQA3,CFR-000000022,a034W00000VdN7mQAF,a094W00002EL3SMQA1
a024W00000I7UTRQA3,CFR-000000023,a034W00000VdN7mQAF,a094W00002EL3SNQA1
a024W00000I7UTSQA3,CFR-000000024,a034W00000VdN7mQAF,a094W00002EL3SOQA1
a024W00000I7UTTQA3,CFR-000000025,a034W00000VdN7mQAF,a094W00002EL3SPQA1
a024W00000I7UTUQA3,CFR-000000026,a034W00000VdN7nQAF,a094W00002EL3SQQA1
a024W00000I7UTVQA3,CFR-000000027,a034W00000VdN7nQAF,a094W00002EL3SRQA1
a024W00000I7UTWQA3,CFR-000000028,a034W00000VdN7nQAF,a094W00002EL3SSQA1
a024W00000I7UTXQA3,CFR-000000029,a034W00000VdN7nQAF,a094W00002EL3STQA1
a024W00000I7UTYQA3,CFR-000000030,a034W00000VdN7nQAF,a094W00002EL3SUQA1
a024W00000I7UTZQA3,CFR-000000031,a034W00000VdN7nQAF,a094W00002EL3SVQA1
a024W00000I7UTaQAN,CFR-000000032,a034W00000VdN7nQAF,a094W00002EL3SWQA1
a024W00000I7UTbQAN,CFR-000000033,a034W00000VdN7nQAF,a094W00002EL3SXQA1
a024W00000I7UTcQAN,CFR-000000034,a034W00000VdN7nQAF,a094W00002EL3SYQA1
a024W00000I7UTdQAN,CFR-000000035,a034W00000VdN7nQAF,a094W00002EL3SZQA1
a024W00000I7UTeQAN,CFR-000000036,a034W00000VdN7nQAF,a094W00002EL3SaQAL
a024W00000I7UTfQAN,CFR-000000037,a034W00000VdN7nQAF,a094W00002EL3SbQAL
a024W00000I7UpAQAV,CFR-000001365,a034W00000VdN7uQAF,a094W00002EL3icQAD
a024W00000I7UpBQAV,CFR-000001366,a034W00000VdN7vQAF,a094W00002EL3iEQAT
